deporte	liga	local	visita	fecha_hora_evento
Futbol	España / La Liga	Almeria	Atletico Madrid	2024-02-25T10:00Z
Futbol	España / La Liga	Barcelona	Getafe	2024-02-25T10:00Z
Futbol	España / La Liga	Cadiz	Celta Vigo	2024-02-25T10:00Z
Futbol	España / La Liga	Girona	Rayo Vallecano	2024-02-25T10:00Z
Futbol	España / La Liga	Real Madrid	Sevilla	2024-02-25T10:00Z
Futbol	España / La Liga	Real Sociedad	Villarreal	2024-02-25T10:00Z
Futbol	España / La Liga	Granada	Valencia	2024-02-25T10:00Z
Futbol	España / La Liga	Las Palmas	Osasuna	2024-02-25T10:00Z
Futbol	España / La Liga	Alaves	Mallorca	2024-02-25T10:00Z
Futbol	España / La Liga	Betis	Athletic	2024-02-25T10:00Z
Futbol	España / La Liga	Atletico Madrid	Betis	2024-03-03T10:00Z
Futbol	España / La Liga	Athletic	Barcelona	2024-03-03T10:00Z
Futbol	España / La Liga	Getafe	Las Palmas	2024-03-03T10:00Z
Futbol	España / La Liga	Celta Vigo	Almeria	2024-03-03T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Cadiz	2024-03-03T10:00Z
Futbol	España / La Liga	Mallorca	Girona	2024-03-03T10:00Z
Futbol	España / La Liga	Valencia	Real Madrid	2024-03-03T10:00Z
Futbol	España / La Liga	Sevilla	Real Sociedad	2024-03-03T10:00Z
Futbol	España / La Liga	Osasuna	Alaves	2024-03-03T10:00Z
Futbol	España / La Liga	Villarreal	Granada	2024-03-03T10:00Z
Futbol	España / La Liga	Almeria	Sevilla	2024-03-10T10:00Z
Futbol	España / La Liga	Barcelona	Mallorca	2024-03-10T10:00Z
Futbol	España / La Liga	Betis	Villarreal	2024-03-10T10:00Z
Futbol	España / La Liga	Girona	Osasuna	2024-03-10T10:00Z
Futbol	España / La Liga	Granada	Real Sociedad	2024-03-10T10:00Z
Futbol	España / La Liga	Alaves	Rayo Vallecano	2024-03-10T10:00Z
Futbol	España / La Liga	Las Palmas	Athletic	2024-03-10T10:00Z
Futbol	España / La Liga	Cadiz	Atletico Madrid	2024-03-10T10:00Z
Futbol	España / La Liga	Real Madrid	Celta Vigo	2024-03-10T10:00Z
Futbol	España / La Liga	Valencia	Getafe	2024-03-10T10:00Z
Futbol	España / La Liga	Atletico Madrid	Barcelona	2024-03-17T10:00Z
Futbol	España / La Liga	Getafe	Girona	2024-03-17T10:00Z
Futbol	España / La Liga	Osasuna	Real Madrid	2024-03-17T10:00Z
Futbol	España / La Liga	Las Palmas	Almeria	2024-03-17T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Betis	2024-03-17T10:00Z
Futbol	España / La Liga	Real Sociedad	Cadiz	2024-03-17T10:00Z
Futbol	España / La Liga	Sevilla	Celta Vigo	2024-03-17T10:00Z
Futbol	España / La Liga	Villarreal	Valencia	2024-03-17T10:00Z
Futbol	España / La Liga	Mallorca	Granada	2024-03-17T10:00Z
Futbol	España / La Liga	Athletic	Alaves	2024-03-17T10:00Z
Futbol	España / La Liga	Almeria	Osasuna	2024-03-31T10:00Z
Futbol	España / La Liga	Barcelona	Las Palmas	2024-03-31T10:00Z
Futbol	España / La Liga	Cadiz	Granada	2024-03-31T10:00Z
Futbol	España / La Liga	Celta Vigo	Rayo Vallecano	2024-03-31T10:00Z
Futbol	España / La Liga	Getafe	Sevilla	2024-03-31T10:00Z
Futbol	España / La Liga	Alaves	Real Sociedad	2024-03-31T10:00Z
Futbol	España / La Liga	Real Madrid	Athletic	2024-03-31T10:00Z
Futbol	España / La Liga	Villarreal	Atletico Madrid	2024-03-31T10:00Z
Futbol	España / La Liga	Girona	Betis	2024-03-31T10:00Z
Futbol	España / La Liga	Valencia	Mallorca	2024-03-31T10:00Z
Futbol	España / La Liga	Athletic	Villarreal	2024-04-14T10:00Z
Futbol	España / La Liga	Atletico Madrid	Girona	2024-04-14T10:00Z
